a	a
ad	ad
adaddjkd	academic
adajkfd	acquire
adajkskgklh	acquisition
adalg	adapt
add	add
addajagd	adequate
adddd	added
adddhg	accent
adddldfagd	accelerate
adddlg	accept
adddlgagld	acceptable
adddlgahdd	acceptance
adddss	access
adddsskgld	accessible
addfdss	address
addjfadh	accuracy
addjfagd	accurate
addjfagdlh	accurately
addjsagklh	accusation
addjsd	accuse
addkddhg	accident
addkgklh	addition
addkgklhal	additional
addlfdkhg	according
addljhg	account
addljhgagklkgh	accountability
addljhgkhg	accounting
addljjldagd	accommodate
addljlahh	accompany
addljllksh	accomplish
addljllkshjdhg	accomplishment
adfahdd	advance
adfahddd	advanced
adfahgagd	advantage
adfdfgkskhg	advertising
adfdhgjfd	adventure
adfkdd	advice
adfksd	advise
adfksdf	adviser
adfldagd	advocate
adflss	across
adg	act
adgfdss	actress
adgjal	actual
adgjallh	actually
adgkfd	active
adgkfdlh	actively
adgkfkgh	activity
adgkfksg	activist
adgklh	action
adglf	actor
adhkdfd	achieve
adhkdfdjdhg	achievement
adjjsg	adjust
adjjsgjdhg	adjustment
adjkfd	admire
adjkg	admit
adjkhksgdf	administer
adjkhksgfagkfd	administrative
adjkhksgfagklh	administration
adjkhksgfaglf	administrator
adjkssklh	admission
adjlg	adult
adkd	acid
adkhlslddgd	acknowledge
adlldsddhg	adolescent
adllg	adopt
adllgklh	adoption
adsghdgkd	aesthetic
afag	arab
afaklagklkgh	availability
afaklagld	available
afda	area
afdfagd	average
afdha	arena
afdhkgddg	architect
afdhkgddgjfd	architecture
affah	array
affahgd	arrange
affahgdjdhg	arrangement
affakd	afraid
affakf	affair
affddg	affect
affdsg	arrest
affkdah	african
affkdah-ajdfkdah	african-american
affkfal	arrival
affkfd	arrive
afflfd	afford
affls	arrow
afg	art
afgdf	after
afgdfhllh	afternoon
afgdfsafd	afterward
afgjd	argue
afgjjdhg	argument
afgkdjlagd	articulate
afgkdld	article
afgkfadg	artifact
afgkfkdkal	artificial
afgksg	artist
afgksgkd	artistic
afj	arm
afjdd	armed
afjh	army
afksd	arise
afljhd	around
aflkd	avoid
ag	at
agahdlh	abandon
agakh	again
agakhsg	against
agd	age
agdhda	agenda
agdhdh	agency
agdhg	agent
agfdd	agree
agfddjdhg	agreement
agfkdjlgjfal	agricultural
agfkdjlgjfd	agriculture
agflad	abroad
aggadh	attach
aggadk	attack
aggdhd	attend
aggdhdahdd	attendance
aggdhgklh	attention
aggdjlg	attempt
aggfadg	attract
aggfadgkfd	attractive
aggfadgklh	attraction
aggfdsskfd	aggressive
aggfdssklh	aggression
aggfkgjgd	attribute
aggkgjdd	attitude
agglfhdh	attorney
aghldgd	athlete
aghldgkd	athletic
agjlslhdfd	atmosphere
agjsd	abuse
agklkgh	ability
agl	ago
agld	able
aglfd	above
aglfgklh	abortion
agljg	about
agll	atop
agsdhdd	absence
agsgfadg	abstract
agslfg	absorb
agslljgd	absolute
agslljgdlh	absolutely
ah	ah
ahalhad	analyze
ahalhsg	analyst
ahalhsks	analysis
ahd	and
ahd/lf	and/or
ahdad	ahead
ahddsglf	ancestor
ahdkdhg	ancient
ahgdf	anger
ahgdl	angel
ahgfh	angry
ahgkdklagd	anticipate
ahgld	angle
ahh	any
ahhghkhg	anything
ahhgldh	anybody
ahhjal	annual
ahhjallh	annually
ahhjlfd	anymore
ahhkfdfsafh	anniversary
ahhlhd	anyone
ahhljhdd	announce
ahhljhddjdhg	announcement
ahhsah	anyway
ahhshdfd	anywhere
ahkjal	animal
ahkld	ankle
ahlghdf	another
ahlhhjljs	anonymous
ahskdgh	anxiety
ahskljs	anxious
ahssdf	answer
aj	am
ajaakhg	amazing
ajafgdf	quarter
