Varicode	Oct	Dec	Hex	Glyph/Abbr	Description
1	40	32	20	SP	
11	145	101	65	e	
101	164	116	74	t	
111	157	111	6F	o	
1011	141	97	61	a	
1101	151	105	69	i	
1111	156	110	6E	n	
10101	162	114	72	r	
10111	163	115	73	s	
11011	154	108	6C	l	
11101	12	10	0A	LF	Line feed
11111	15	13	0D	CR	Carriage return
101011	150	104	68	h	
101101	144	100	64	d	
101111	143	99	63	c	
110101	55	45	2D	-	
110111	165	117	75	u	
111011	155	109	6D	m	
111101	146	102	66	f	
111111	160	112	70	p	
1010101	75	61	3D	=	
1010111	56	46	2E	.	
1011011	147	103	67	g	
1011101	171	121	79	y	
1011111	142	98	62	b	
1101011	167	119	77	w	
1101101	124	84	54	T	
1101111	123	83	53	S	
1110101	54	44	2C	,	
1110111	105	69	45	E	
1111011	166	118	76	v	
1111101	101	65	41	A	
1111111	111	73	49	I	
10101011	117	79	4F	O	
10101101	103	67	43	C	
10101111	122	82	52	R	
10110101	104	68	44	D	
10110111	60	48	30	0	
10111011	115	77	4D	M	
10111101	61	49	31	1	
10111111	153	107	6B	k	
11010101	120	80	50	P	
11010111	114	76	4C	L	
11011011	106	70	46	F	
11011101	116	78	4E	N	
11011111	170	120	78	x	
11101011	102	66	42	B	
11101101	62	50	32	2	
11101111	11	9	9	HT	Horizontal Tab
11110101	72	58	3A	:	
11110111	51	41	29	)	
11111011	50	40	28	(	
11111101	107	71	47	G	
11111111	63	51	33	3	
101010101	110	72	48	H	
101010111	125	85	55	U	
101011011	65	53	35	5	
101011101	127	87	57	W	
101011111	42	34	22		
101101011	66	54	36	6	
101101101	137	95	5F	_	
101101111	52	42	2A	*	
101110101	130	88	58	X	
101110111	64	52	34	4	
101111011	131	89	59	Y	
101111101	113	75	4B	K	
101111111	47	39	27	'	
110101011	70	56	38	8	
110101101	67	55	37	7	
110101111	57	47	2F	/	
110110101	126	86	56	V	
110110111	71	57	39	9	
110111011	174	124	7C	|	
110111101	73	59	3B	;	
110111111	161	113	71	q	
111010101	172	122	7A	z	
111010111	76	62	3E	>	
111011011	44	36	24	$	
111011101	121	81	51	Q	
111011111	53	43	2B	+	
111101011	152	106	6A	j	
111101101	74	60	3C	<	
111101111	134	92	5C	\	
111110101	43	35	23	#	
111110111	133	91	5B	[	
111111011	135	93	5D	]	
111111101	112	74	4A	J	
111111111	41	33	21	!	
1010101011	0	0	0	NUL	Null character
1010101101	132	90	5A	Z	
1010101111	77	63	3F	?	
1010110101	175	125	7D	}	
1010110111	173	123	7B	{	
1010111011	46	38	26	&	
1010111101	100	64	40	@	
1010111111	136	94	5E	^	
1011010101	45	37	25	%	
1011010111	176	126	7E	~	
1011011011	1	1	1	SOH	Start of Header
1011011101	14	12	0C	FF	Form feed
1011011111	140	96	60	`	
1011101011	4	4	4	EOT	End of Transmission
1011101101	2	2	2	STX	Start of Text
1011101111	6	6	6	ACK	Acknowledgment
1011110101	21	17	11	DC1	Device Control 1 (XON)
1011110111	20	16	10	DLE	Data Link Escape
1011111011	36	30	1E	RS	Record Separator
1011111101	7	7	7	BEL	Bell
1011111111	10	8	8	BS	Backspace
1101010101	33	27	1B	ESC	Escape
1101010111	27	23	17	ETB	End of Trans. Block
1101011011	24	20	14	DC4	Device Control 4
1101011101	34	28	1C	FS	File Separator
1101011111	5	5	5	ENQ	Enquiry
1101101011	25	21	15	NAK	Negative Acknowledgement
1101101101	26	22	16	SYN	Synchronous Idle
1101101111	13	11	0B	VT	Vertical Tab
1101110101	16	14	0E	SO	Shift Out
1101110111	3	3	3	ETX	End of Text
1101111011	30	24	18	CAN	Cancel
1101111101	31	25	19	EM	End of Medium
1101111111	37	31	1F	US	Unit Separator
1110101011	17	15	0F	SI	Shift In
1110101101	22	18	12	DC2	Device Control 2
1110101111	23	19	13	DC3	Device Control 3 (XOFF)
1110110101	177	127	7F	DEL	Delete
1110110111	32	26	1A	SUB	Substitute
1110111011	35	29	1D	GS	Group Separator
